id_data,variable,id_nivel,nivel_value,id_time,time,value_label,value
17,poblacion,mpio,5001,1,1985,Población,1450177
17,poblacion,mpio,5001,1,1986,Población,1477968
17,poblacion,mpio,5001,1,1987,Población,1509845
17,poblacion,mpio,5001,1,1988,Población,1541818
17,poblacion,mpio,5001,1,1989,Población,1573460
17,poblacion,mpio,5001,1,1990,Población,1604309
17,poblacion,mpio,5001,1,1991,Población,1634928
17,poblacion,mpio,5001,1,1992,Población,1665384
17,poblacion,mpio,5001,1,1993,Población,1696362
17,poblacion,mpio,5001,1,1994,Población,1726016
17,poblacion,mpio,5001,1,1995,Población,1756761
17,poblacion,mpio,5001,1,1996,Población,1787831
17,poblacion,mpio,5001,1,1997,Población,1816301
17,poblacion,mpio,5001,1,1998,Población,1847391
17,poblacion,mpio,5001,1,1999,Población,1877865
17,poblacion,mpio,5001,1,2000,Población,1907859
17,poblacion,mpio,5001,1,2001,Población,1936860
17,poblacion,mpio,5001,1,2002,Población,1965015
17,poblacion,mpio,5001,1,2003,Población,1992640
17,poblacion,mpio,5001,1,2004,Población,2019930
17,poblacion,mpio,5001,1,2005,Población,2046341
17,poblacion,mpio,5001,1,2006,Población,2074195
17,poblacion,mpio,5001,1,2007,Población,2101771
17,poblacion,mpio,5001,1,2008,Población,2129336
17,poblacion,mpio,5001,1,2009,Población,2157094
17,poblacion,mpio,5001,1,2010,Población,2185539
17,poblacion,mpio,5001,1,2011,Población,2213549
17,poblacion,mpio,5001,1,2012,Población,2240690
17,poblacion,mpio,5001,1,2013,Población,2266969
17,poblacion,mpio,5001,1,2014,Población,2293601
17,poblacion,mpio,5001,1,2015,Población,2320791
17,poblacion,mpio,5001,1,2016,Población,2351077
17,poblacion,mpio,5001,1,2017,Población,2385018
17,poblacion,mpio,5001,1,2018,Población,2427129
17,poblacion,mpio,5001,1,2019,Población,2483545
17,poblacion,mpio,5001,1,2020,Población,2533424
17,poblacion,mpio,5001,1,2021,Población,2573220
17,poblacion,mpio,5001,1,2022,Población,2612958
17,poblacion,mpio,5001,1,2023,Población,2653729
17,poblacion,mpio,5001,1,2024,Población,2700443
17,poblacion,mpio,5001,1,2025,Población,2745464
17,poblacion,mpio,5001,1,2026,Población,2787912
17,poblacion,mpio,5001,1,2027,Población,2827485
17,poblacion,mpio,5001,1,2028,Población,2864125
17,poblacion,mpio,5001,1,2029,Población,2897640
17,poblacion,mpio,5001,1,2030,Población,2927890
17,poblacion,mpio,5001,1,2031,Población,2956076
17,poblacion,mpio,5001,1,2032,Población,2983414
17,poblacion,mpio,5001,1,2033,Población,3009884
17,poblacion,mpio,5001,1,2034,Población,3035569
17,poblacion,mpio,5001,1,2035,Población,3060264
17,poblacion,mpio,5002,1,1985,Población,27635
17,poblacion,mpio,5002,1,1986,Población,27524
17,poblacion,mpio,5002,1,1987,Población,27323
17,poblacion,mpio,5002,1,1988,Población,27107
17,poblacion,mpio,5002,1,1989,Población,26862
17,poblacion,mpio,5002,1,1990,Población,26617
17,poblacion,mpio,5002,1,1991,Población,26374
17,poblacion,mpio,5002,1,1992,Población,26090
17,poblacion,mpio,5002,1,1993,Población,25865
17,poblacion,mpio,5002,1,1994,Población,25596
17,poblacion,mpio,5002,1,1995,Población,25331
17,poblacion,mpio,5002,1,1996,Población,25094
17,poblacion,mpio,5002,1,1997,Población,24929
17,poblacion,mpio,5002,1,1998,Población,24684
17,poblacion,mpio,5002,1,1999,Población,24454
17,poblacion,mpio,5002,1,2000,Población,24216
17,poblacion,mpio,5002,1,2001,Población,23978
17,poblacion,mpio,5002,1,2002,Población,23732
17,poblacion,mpio,5002,1,2003,Población,23468
17,poblacion,mpio,5002,1,2004,Población,23229
17,poblacion,mpio,5002,1,2005,Población,22942
17,poblacion,mpio,5002,1,2006,Población,22705
17,poblacion,mpio,5002,1,2007,Población,22492
17,poblacion,mpio,5002,1,2008,Población,22237
17,poblacion,mpio,5002,1,2009,Población,22026
17,poblacion,mpio,5002,1,2010,Población,21822
17,poblacion,mpio,5002,1,2011,Población,21619
17,poblacion,mpio,5002,1,2012,Población,21371
17,poblacion,mpio,5002,1,2013,Población,21166
17,poblacion,mpio,5002,1,2014,Población,20942
17,poblacion,mpio,5002,1,2015,Población,20718
17,poblacion,mpio,5002,1,2016,Población,20534
17,poblacion,mpio,5002,1,2017,Población,20437
17,poblacion,mpio,5002,1,2018,Población,20367
17,poblacion,mpio,5002,1,2019,Población,20258
17,poblacion,mpio,5002,1,2020,Población,20287
17,poblacion,mpio,5002,1,2021,Población,20602
17,poblacion,mpio,5002,1,2022,Población,20920
17,poblacion,mpio,5002,1,2023,Población,21246
17,poblacion,mpio,5002,1,2024,Población,21444
17,poblacion,mpio,5002,1,2025,Población,21633
17,poblacion,mpio,5002,1,2026,Población,21818
17,poblacion,mpio,5002,1,2027,Población,22023
17,poblacion,mpio,5002,1,2028,Población,22232
17,poblacion,mpio,5002,1,2029,Población,22465
17,poblacion,mpio,5002,1,2030,Población,22684
17,poblacion,mpio,5002,1,2031,Población,22908
17,poblacion,mpio,5002,1,2032,Población,23135
17,poblacion,mpio,5002,1,2033,Población,23376
17,poblacion,mpio,5002,1,2034,Población,23610
17,poblacion,mpio,5002,1,2035,Población,23804
17,poblacion,mpio,5004,1,1985,Población,2851
17,poblacion,mpio,5004,1,1986,Población,2841
17,poblacion,mpio,5004,1,1987,Población,2853
17,poblacion,mpio,5004,1,1988,Población,2879
17,poblacion,mpio,5004,1,1989,Población,2837
17,poblacion,mpio,5004,1,1990,Población,2815
17,poblacion,mpio,5004,1,1991,Población,2827
17,poblacion,mpio,5004,1,1992,Población,2815
17,poblacion,mpio,5004,1,1993,Población,2804
17,poblacion,mpio,5004,1,1994,Población,2822
17,poblacion,mpio,5004,1,1995,Población,2784
17,poblacion,mpio,5004,1,1996,Población,2771
17,poblacion,mpio,5004,1,1997,Población,2775
17,poblacion,mpio,5004,1,1998,Población,2776
17,poblacion,mpio,5004,1,1999,Población,2737
17,poblacion,mpio,5004,1,2000,Población,2758
17,poblacion,mpio,5004,1,2001,Población,2725
17,poblacion,mpio,5004,1,2002,Población,2732
17,poblacion,mpio,5004,1,2003,Población,2730
17,poblacion,mpio,5004,1,2004,Población,2732
17,poblacion,mpio,5004,1,2005,Población,2719
17,poblacion,mpio,5004,1,2006,Población,2652
17,poblacion,mpio,5004,1,2007,Población,2649
17,poblacion,mpio,5004,1,2008,Población,2656
17,poblacion,mpio,5004,1,2009,Población,2663
17,poblacion,mpio,5004,1,2010,Población,2655
17,poblacion,mpio,5004,1,2011,Población,2672
17,poblacion,mpio,5004,1,2012,Población,2668
17,poblacion,mpio,5004,1,2013,Población,2692
17,poblacion,mpio,5004,1,2014,Población,2661
17,poblacion,mpio,5004,1,2015,Población,2630
17,poblacion,mpio,5004,1,2016,Población,2629
17,poblacion,mpio,5004,1,2017,Población,2652
17,poblacion,mpio,5004,1,2018,Población,2695
17,poblacion,mpio,5004,1,2019,Población,2710
17,poblacion,mpio,5004,1,2020,Población,2735
17,poblacion,mpio,5004,1,2021,Población,2777
17,poblacion,mpio,5004,1,2022,Población,2820
17,poblacion,mpio,5004,1,2023,Población,2864
17,poblacion,mpio,5004,1,2024,Población,2878
17,poblacion,mpio,5004,1,2025,Población,2903
17,poblacion,mpio,5004,1,2026,Población,2926
17,poblacion,mpio,5004,1,2027,Población,2951
17,poblacion,mpio,5004,1,2028,Población,2979
17,poblacion,mpio,5004,1,2029,Población,3000
17,poblacion,mpio,5004,1,2030,Población,3041
17,poblacion,mpio,5004,1,2031,Población,3060
17,poblacion,mpio,5004,1,2032,Población,3102
17,poblacion,mpio,5004,1,2033,Población,3128
17,poblacion,mpio,5004,1,2034,Población,3164
17,poblacion,mpio,5004,1,2035,Población,3191
17,poblacion,mpio,5021,1,1985,Población,4964
17,poblacion,mpio,5021,1,1986,Población,4961
17,poblacion,mpio,5021,1,1987,Población,4958
17,poblacion,mpio,5021,1,1988,Población,4973
17,poblacion,mpio,5021,1,1989,Población,4952
17,poblacion,mpio,5021,1,1990,Población,4938
17,poblacion,mpio,5021,1,1991,Población,4921
17,poblacion,mpio,5021,1,1992,Población,4897
17,poblacion,mpio,5021,1,1993,Población,4881
17,poblacion,mpio,5021,1,1994,Población,4887
17,poblacion,mpio,5021,1,1995,Población,4815
17,poblacion,mpio,5021,1,1996,Población,4833
17,poblacion,mpio,5021,1,1997,Población,4814
17,poblacion,mpio,5021,1,1998,Población,4814
17,poblacion,mpio,5021,1,1999,Población,4833
17,poblacion,mpio,5021,1,2000,Población,4793
17,poblacion,mpio,5021,1,2001,Población,4785
17,poblacion,mpio,5021,1,2002,Población,4761
17,poblacion,mpio,5021,1,2003,Población,4746
17,poblacion,mpio,5021,1,2004,Población,4755
17,poblacion,mpio,5021,1,2005,Población,4724
17,poblacion,mpio,5021,1,2006,Población,4725
17,poblacion,mpio,5021,1,2007,Población,4697
17,poblacion,mpio,5021,1,2008,Población,4679
17,poblacion,mpio,5021,1,2009,Población,4694
17,poblacion,mpio,5021,1,2010,Población,4679
17,poblacion,mpio,5021,1,2011,Población,4678
17,poblacion,mpio,5021,1,2012,Población,4649
17,poblacion,mpio,5021,1,2013,Población,4672
17,poblacion,mpio,5021,1,2014,Población,4674
17,poblacion,mpio,5021,1,2015,Población,4680
17,poblacion,mpio,5021,1,2016,Población,4620
17,poblacion,mpio,5021,1,2017,Población,4600
17,poblacion,mpio,5021,1,2018,Población,4657
17,poblacion,mpio,5021,1,2019,Población,4669
17,poblacion,mpio,5021,1,2020,Población,4698
17,poblacion,mpio,5021,1,2021,Población,4771
17,poblacion,mpio,5021,1,2022,Población,4845
17,poblacion,mpio,5021,1,2023,Población,4920
17,poblacion,mpio,5021,1,2024,Población,4959
17,poblacion,mpio,5021,1,2025,Población,5032
17,poblacion,mpio,5021,1,2026,Población,5073
17,poblacion,mpio,5021,1,2027,Población,5133
17,poblacion,mpio,5021,1,2028,Población,5195
17,poblacion,mpio,5021,1,2029,Población,5257
17,poblacion,mpio,5021,1,2030,Población,5298
17,poblacion,mpio,5021,1,2031,Población,5361
17,poblacion,mpio,5021,1,2032,Población,5407
17,poblacion,mpio,5021,1,2033,Población,5456
17,poblacion,mpio,5021,1,2034,Población,5517
17,poblacion,mpio,5021,1,2035,Población,5565
17,poblacion,mpio,5030,1,1985,Población,22541
17,poblacion,mpio,5030,1,1986,Población,22823
17,poblacion,mpio,5030,1,1987,Población,23085
17,poblacion,mpio,5030,1,1988,Población,23372
17,poblacion,mpio,5030,1,1989,Población,23637
17,poblacion,mpio,5030,1,1990,Población,23833
17,poblacion,mpio,5030,1,1991,Población,24088
17,poblacion,mpio,5030,1,1992,Población,24316
17,poblacion,mpio,5030,1,1993,Población,24561
17,poblacion,mpio,5030,1,1994,Población,24770
17,poblacion,mpio,5030,1,1995,Población,24995
17,poblacion,mpio,5030,1,1996,Población,25201
17,poblacion,mpio,5030,1,1997,Población,25472
17,poblacion,mpio,5030,1,1998,Población,25699
17,poblacion,mpio,5030,1,1999,Población,25937
17,poblacion,mpio,5030,1,2000,Población,26174
17,poblacion,mpio,5030,1,2001,Población,26347
17,poblacion,mpio,5030,1,2002,Población,26573
17,poblacion,mpio,5030,1,2003,Población,26733
17,poblacion,mpio,5030,1,2004,Población,26939
17,poblacion,mpio,5030,1,2005,Población,27121
17,poblacion,mpio,5030,1,2006,Población,27308
17,poblacion,mpio,5030,1,2007,Población,27482
17,poblacion,mpio,5030,1,2008,Población,27725
17,poblacion,mpio,5030,1,2009,Población,27920
17,poblacion,mpio,5030,1,2010,Población,28132
17,poblacion,mpio,5030,1,2011,Población,28354
17,poblacion,mpio,5030,1,2012,Población,28482
17,poblacion,mpio,5030,1,2013,Población,28780
17,poblacion,mpio,5030,1,2014,Población,28888
17,poblacion,mpio,5030,1,2015,Población,29136
17,poblacion,mpio,5030,1,2016,Población,29394
17,poblacion,mpio,5030,1,2017,Población,29663
17,poblacion,mpio,5030,1,2018,Población,30227
17,poblacion,mpio,5030,1,2019,Población,30777
17,poblacion,mpio,5030,1,2020,Población,31283
17,poblacion,mpio,5030,1,2021,Población,31768
17,poblacion,mpio,5030,1,2022,Población,32259
17,poblacion,mpio,5030,1,2023,Población,32762
17,poblacion,mpio,5030,1,2024,Población,33113
17,poblacion,mpio,5030,1,2025,Población,33443
17,poblacion,mpio,5030,1,2026,Población,33769
17,poblacion,mpio,5030,1,2027,Población,34119
17,poblacion,mpio,5030,1,2028,Población,34464
17,poblacion,mpio,5030,1,2029,Población,34823
17,poblacion,mpio,5030,1,2030,Población,35178
17,poblacion,mpio,5030,1,2031,Población,35557
17,poblacion,mpio,5030,1,2032,Población,35907
17,poblacion,mpio,5030,1,2033,Población,36242
17,poblacion,mpio,5030,1,2034,Población,36580
17,poblacion,mpio,5030,1,2035,Población,36903
17,poblacion,mpio,5031,1,1985,Población,18375
17,poblacion,mpio,5031,1,1986,Población,18660
17,poblacion,mpio,5031,1,1987,Población,18887
17,poblacion,mpio,5031,1,1988,Población,19187
17,poblacion,mpio,5031,1,1989,Población,19424
17,poblacion,mpio,5031,1,1990,Población,19676
17,poblacion,mpio,5031,1,1991,Población,19883
17,poblacion,mpio,5031,1,1992,Población,20095
17,poblacion,mpio,5031,1,1993,Población,20326
17,poblacion,mpio,5031,1,1994,Población,20519
17,poblacion,mpio,5031,1,1995,Población,20734
17,poblacion,mpio,5031,1,1996,Población,20966
17,poblacion,mpio,5031,1,1997,Población,21205
17,poblacion,mpio,5031,1,1998,Población,21443
17,poblacion,mpio,5031,1,1999,Población,21695
17,poblacion,mpio,5031,1,2000,Población,21905
17,poblacion,mpio,5031,1,2001,Población,22125
17,poblacion,mpio,5031,1,2002,Población,22327
17,poblacion,mpio,5031,1,2003,Población,22521
17,poblacion,mpio,5031,1,2004,Población,22723
17,poblacion,mpio,5031,1,2005,Población,22933
17,poblacion,mpio,5031,1,2006,Población,23133
17,poblacion,mpio,5031,1,2007,Población,23330
17,poblacion,mpio,5031,1,2008,Población,23535
17,poblacion,mpio,5031,1,2009,Población,23772
17,poblacion,mpio,5031,1,2010,Población,23986
17,poblacion,mpio,5031,1,2011,Población,24156
17,poblacion,mpio,5031,1,2012,Población,24332
17,poblacion,mpio,5031,1,2013,Población,24548
17,poblacion,mpio,5031,1,2014,Población,24753
17,poblacion,mpio,5031,1,2015,Población,24951
17,poblacion,mpio,5031,1,2016,Población,25194
